#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getChromDepth_sample000_estimateChromDepth_021_22		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_021_22 --chrom 22
getChromDepth_sample000_estimateChromDepth_022_X		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_022_X --chrom X
getChromDepth_sample000_estimateChromDepth_023_Y		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_023_Y --chrom Y
getChromDepth_sample000_estimateChromDepth_024_MT_to_031_GL000235_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_024_MT_to_031_GL000235_1 --chrom MT --chrom GL000207.1 --chrom GL000226.1 --chrom GL000229.1 --chrom GL000231.1 --chrom GL000210.1 --chrom GL000239.1 --chrom GL000235.1
getChromDepth_sample000_estimateChromDepth_032_GL000201_1_to_036_GL000203_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_032_GL000201_1_to_036_GL000203_1 --chrom GL000201.1 --chrom GL000247.1 --chrom GL000245.1 --chrom GL000197.1 --chrom GL000203.1
getChromDepth_sample000_estimateChromDepth_037_GL000246_1_to_041_GL000244_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_037_GL000246_1_to_041_GL000244_1 --chrom GL000246.1 --chrom GL000249.1 --chrom GL000196.1 --chrom GL000248.1 --chrom GL000244.1
getChromDepth_sample000_estimateChromDepth_042_GL000238_1_to_045_GL000232_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_042_GL000238_1_to_045_GL000232_1 --chrom GL000238.1 --chrom GL000202.1 --chrom GL000234.1 --chrom GL000232.1
getChromDepth_sample000_estimateChromDepth_046_GL000206_1_to_049_GL000241_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_046_GL000206_1_to_049_GL000241_1 --chrom GL000206.1 --chrom GL000240.1 --chrom GL000236.1 --chrom GL000241.1
getChromDepth_sample000_estimateChromDepth_050_GL000243_1_to_053_GL000237_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_050_GL000243_1_to_053_GL000237_1 --chrom GL000243.1 --chrom GL000242.1 --chrom GL000230.1 --chrom GL000237.1
getChromDepth_sample000_estimateChromDepth_054_GL000233_1_to_055_GL000204_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_054_GL000233_1_to_055_GL000204_1 --chrom GL000233.1 --chrom GL000204.1
getChromDepth_sample000_estimateChromDepth_056_GL000198_1_to_057_GL000208_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_056_GL000198_1_to_057_GL000208_1 --chrom GL000198.1 --chrom GL000208.1
getChromDepth_sample000_estimateChromDepth_058_GL000191_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_058_GL000191_1 --chrom GL000191.1
getChromDepth_sample000_estimateChromDepth_059_GL000227_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_059_GL000227_1 --chrom GL000227.1
getChromDepth_sample000_estimateChromDepth_060_GL000228_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_060_GL000228_1 --chrom GL000228.1
getChromDepth_sample000_estimateChromDepth_061_GL000214_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_061_GL000214_1 --chrom GL000214.1
getChromDepth_sample000_estimateChromDepth_062_GL000221_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_062_GL000221_1 --chrom GL000221.1
getChromDepth_sample000_estimateChromDepth_063_GL000209_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_063_GL000209_1 --chrom GL000209.1
getChromDepth_sample000_estimateChromDepth_064_GL000218_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_064_GL000218_1 --chrom GL000218.1
getChromDepth_sample000_estimateChromDepth_065_GL000220_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_065_GL000220_1 --chrom GL000220.1
getChromDepth_sample000_estimateChromDepth_066_GL000213_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_066_GL000213_1 --chrom GL000213.1
getChromDepth_sample000_estimateChromDepth_067_GL000211_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_067_GL000211_1 --chrom GL000211.1
getChromDepth_sample000_estimateChromDepth_068_GL000199_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_068_GL000199_1 --chrom GL000199.1
getChromDepth_sample000_estimateChromDepth_069_GL000217_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_069_GL000217_1 --chrom GL000217.1
getChromDepth_sample000_estimateChromDepth_070_GL000216_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_070_GL000216_1 --chrom GL000216.1
getChromDepth_sample000_estimateChromDepth_071_GL000215_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_071_GL000215_1 --chrom GL000215.1
getChromDepth_sample000_estimateChromDepth_072_GL000205_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_072_GL000205_1 --chrom GL000205.1
getChromDepth_sample000_estimateChromDepth_073_GL000219_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_073_GL000219_1 --chrom GL000219.1
getChromDepth_sample000_estimateChromDepth_074_GL000224_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_074_GL000224_1 --chrom GL000224.1
getChromDepth_sample000_estimateChromDepth_075_GL000223_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_075_GL000223_1 --chrom GL000223.1
getChromDepth_sample000_estimateChromDepth_076_GL000195_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_076_GL000195_1 --chrom GL000195.1
getChromDepth_sample000_estimateChromDepth_077_GL000212_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_077_GL000212_1 --chrom GL000212.1
getChromDepth_sample000_estimateChromDepth_078_GL000222_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_078_GL000222_1 --chrom GL000222.1
getChromDepth_sample000_estimateChromDepth_079_GL000200_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_079_GL000200_1 --chrom GL000200.1
getChromDepth_sample000_estimateChromDepth_080_GL000193_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_080_GL000193_1 --chrom GL000193.1
getChromDepth_sample000_estimateChromDepth_081_GL000194_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_081_GL000194_1 --chrom GL000194.1
getChromDepth_sample000_estimateChromDepth_082_GL000225_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_082_GL000225_1 --chrom GL000225.1
getChromDepth_sample000_estimateChromDepth_083_GL000192_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_083_GL000192_1 --chrom GL000192.1
